id	name	gender	age	family	region	trips_per_year	avg_budget_per_year	favorite_destination	vacation_type	travel_interest
1	Emin Guseynov	Male	47	1	Quba	1	3006	UAE, Dubai	sea	1
2	Ismail Naffigov	Male	19	0	Lankaran	4	1384	Spain, Barcelona	sea	9
3	Saida Shakhmuradova	Female	50	0	Ganja	2	2106	France, Paris	active	2
4	Vagif Bagirov	Male	34	2	Goychay	0	1647	UAE, Dubai	sea	8
5	Magomed Mekhtiev	Male	37	2	Ganja	0	1261	Azerbaijan, Shaki	retreat	10
6	Irada Shirinova	Female	24	0	Shirvan	2	1855	Spain, Barcelona	sea	7
7	Muslim Tagiev	Male	32	2	Nakhchivan	2	3333	Azerbaijan, Shaki	calm	7
8	Aydan Suleymanov	Male	41	0	Sumqayit	4	1325	Germany, Berlin	active	3
9	Elmar Abbasly	Male	44	2	Shaki	2	3707	Spain, Barcelona	food	6
10	Dilara Nadjafova	Female	45	1	Goychay	0	3224	Turkey, Istanbul	retreat	5,5
11	Luka Akhundov	Male	47	1	Ganja	2	1556	Georgia, Tbilisi	mountains	8
12	Rasul Dzhangirov	Male	55	0	Quba	4	876	France, Paris	calm	5
13	Gunel Vezirova	Female	45	1	Goychay	3	2086	Georgia, Tbilisi	retreat	6
14	Gocha Balabanov	Male	30	2	Sumqayit	1	2386	Azerbaijan, Shaki	mountains	5
15	Elmar Babaev	Male	41	0	Lankaran	4	1434	Turkey, Istanbul	food	4
16	Chinara Akhundova	Female	34	0	Quba	5	2371	Georgia, Tbilisi	retreat	3
17	Murad Khanlarov	Male	51	0	Shaki	2	1871	Turkey, Istanbul	food	3
18	Amil Dzhevanshir	Male	54	0	Mingachevir	0	868	Spain, Barcelona	sea	7
19	Samuil Aligulov	Male	38	0	Shirvan	4	1892	Italy, Rome	calm	4
20	Inara Alikhanlya	Female	38	2	Sumqayit	1	1704	Azerbaijan, Shaki	calm	6
21	Muslim Sadigov	Male	35	0	Nakhchivan	1	1481	Russia, Moscow	mountains	2
22	Zara Talybova	Female	21	1	Goychay	2	2031	Turkey, Antalya	sea	9
23	Elmira Ramazanova	Female	23	2	Shirvan	0	2040	Georgia, Tbilisi	mountains	9
24	Anar Kamalov	Male	23	1	Shaki	5	1060	Azerbaijan, Shaki	retreat	7
25	Naila Bayramova	Female	26	1	Shirvan	1	2677	Italy, Rome	sightseeing	4
26	Lazar Mustafayev	Male	41	2	Mingachevir	1	3249	Spain, Barcelona	sea	2
27	Chinara Dzhangirova	Female	48	0	Quba	0	1101	Georgia, Tbilisi	active	3
28	Anzor Israfilov	Male	47	0	Lankaran	2	585	Azerbaijan, Shaki	mountains	7
29	Elmira Shakhmuradova	Female	41	1	Nakhchivan	5	1704	Turkey, Istanbul	food	5
30	Aydan Muradov	Male	56	1	Mingachevir	3	2311	Germany, Berlin	active	10
31	Luka Rakhmanov	Male	39	1	Ganja	2	2466	UAE, Dubai	sightseeing	3
32	Ismail Veliev	Male	41	1	Sumqayit	0	1342	UAE, Dubai	sea	4
33	Lazar Aslanly	Male	51	1	Sumqayit	5	1281	Georgia, Tbilisi	active	1
34	Anar Bayramov	Male	42	1	Shaki	3	1133	Turkey, Istanbul	food	5
35	Nigar Akhundova	Female	52	2	Mingachevir	5	2462	Spain, Barcelona	sea	9
36	Gocha Kamalov	Male	47	0	Ganja	3	1471	Turkey, Antalya	sightseeing	10
37	Seyran Gamidov	Male	30	0	Quba	5	709	Turkey, Istanbul	food	6
38	Rasul Rustamov	Male	22	2	Quba	0	2041	Georgia, Tbilisi	active	9
39	Samuil Gadzhizade	Male	44	0	Sumqayit	4	779	Spain, Barcelona	food	10
40	Inara Jafarova	Female	48	2	Goychay	3	2584	Turkey, Istanbul	food	6
41	Medina Zeynalova	Female	28	1	Goychay	3	3398	UAE, Dubai	sea	10
42	Samuil Mekhtiev	Male	41	2	Baku	5	1071	Turkey, Antalya	sea	2
43	Medina Ramazanova	Female	53	1	Shaki	2	1240	Turkey, Antalya	sea	7
44	Server Gasanov	Male	41	2	Baku	4	4030	Azerbaijan, Shaki	retreat	9
45	Lazar Gulizade	Male	48	1	Lankaran	4	1704	Azerbaijan, Shaki	mountains	7
46	Bakhtiyar Imanov	Male	41	1	Quba	2	1416	Russia, Moscow	mountains	1
47	Rakhila Nasibova	Female	59	1	Quba	0	2122	UAE, Dubai	sea	5
48	Samira Babaeva	Female	41	1	Nakhchivan	5	2343	Georgia, Tbilisi	active	4
49	Elman Gasanov	Male	46	0	Mingachevir	5	1274	Italy, Rome	calm	7
50	Irada Alekperova	Female	41	1	Lankaran	2	3190	Georgia, Tbilisi	sightseeing	5,5
51	Gocha Sabirov	Male	38	0	Shaki	0	1704	Azerbaijan, Shaki	retreat	5,5
52	Gocha Aslanly	Male	40	1	Ganja	5	3272	Georgia, Tbilisi	retreat	4
53	Tarana Shakhmuradova	Female	56	1	Sumqayit	3	978	Georgia, Tbilisi	mountains	10
54	Vagif Abdullaev	Male	36	0	Baku	3	1025	Azerbaijan, Shaki	sightseeing	9
55	Govkhar Farzalieva	Female	34	1	Quba	5	2161	Spain, Barcelona	sea	1
56	Elmar Sabirov	Male	50	0	Ganja	5	844	Azerbaijan, Shaki	calm	8
57	Deniz Agalarova	Female	37	1	Baku	2	2566	France, Paris	calm	10
58	Vusala Agaeva	Female	46	0	Nakhchivan	0	1379	Spain, Barcelona	sightseeing	1
